"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267792",36.5777373380649,0.702091887762705,0.381515594911146,1.84027048206567,0.065728536746258,0.343309873596875
"ENSG00000116017",216.374437206835,0.0249527423215829,0.278922001503245,0.0894613626286219,0.928715258576194,0.978846601253663
"ENSG00000064932",1003.81800674621,0.0770267759411322,0.149536616598272,0.515103107809797,0.606480971127467,0.862185247830034
"ENSG00000279653",3.71909685578903,1.11899207667554,0.885766529114692,1.26330363577178,0.206480080112962,0.59823157136292
"ENSG00000205922",3.30202963928355,-0.443852782359212,0.784781022331598,-0.565575325764783,0.571682505082103,0.847717645854199
"ENSG00000282542",4.02740130230369,-0.3398230452238,0.749644208391294,-0.453312439981423,0.650323776312691,0.876371879720656
"ENSG00000099864",204.286437024807,1.28558054719424,1.01494268867982,1.2666533406595,0.205279270641583,0.59823157136292
"ENSG00000125912",2297.08860277957,0.19060194888915,0.100957865747636,1.88793560043748,0.0590345965123769,0.329339525598352
"ENSG00000011132",136.078799932721,0.188036184614502,0.152012343386705,1.23697971115514,0.216094614983861,0.60276941139271
"ENSG00000282798",20.2834573432447,-0.433959890849259,0.360970095569667,-1.20220454872973,0.229284287397118,0.620248614042292
"ENSG00000031823",565.707275506358,-0.121329741613813,0.166955826634865,-0.726717623812933,0.467398954943442,0.801952661321091
"ENSG00000176533",7.80266932435496,0.935410817985311,0.698542792025213,1.3390887840577,0.18054177133939,0.569254172186479
"ENSG00000105248",116.684499345986,-0.27068082268878,0.26264265522968,-1.03060495810199,0.302726110065573,0.68436380574698
"ENSG00000160633",745.275028099885,-0.336149796899972,0.136899005811318,-2.45545827676259,0.0140705085357281,0.127555860118535
"ENSG00000267205",8.71519763185629,0.164089427901856,0.587896591515836,0.279112738991676,0.780158307173641,0.92997502193695
"ENSG00000171105",169.126856648675,0.393093581842052,0.288328706093116,1.36335222104143,0.172771531385406,0.557481021821978
"ENSG00000161082",5.1343306676756,0.800083503000414,0.683941416197052,1.16981291679798,0.242076264429652,0.626605375881708
"ENSG00000141968",3.79102962595728,0.423021797827396,0.763982821961018,0.553705902367764,0.579780135178929,0.851499658512545
"ENSG00000267749",5.37205971602818,-0.236396793495527,0.802110813147173,-0.294718372599912,0.768209026939436,0.924089627898795
"ENSG00000175691",27.721776959249,-0.465259318112211,0.326819837855308,-1.42359570693562,0.154563539314109,0.530524573012669
"ENSG00000088256",1451.16544861962,0.00670621718105809,0.130359381323707,0.0514440703305066,0.958971668197292,0.985151379776351
"ENSG00000133243",986.148877664006,0.119408284358046,0.170763895171883,0.699259549203041,0.484389841611265,0.809468874556759
"ENSG00000266944",2867.81361222318,-0.299128702298711,0.120248677575843,-2.48758413255768,0.0128614028881538,0.119438515845477
"ENSG00000183617",197.78854037182,-0.0763760773511637,0.168733355504209,-0.452643622969132,0.650805381460316,0.876371879720656
"ENSG00000129932",183.857779566775,-0.198133675537563,0.176270744580815,-1.12403039998918,0.261000129575915,0.65063602626985
"ENSG00000074842",2441.93322341793,0.418939568367582,0.153599249732461,2.72748447077242,0.00638192615043474,0.0759349494305634
"ENSG00000213726",5.18631669977551,-0.755339060401196,0.785123279701293,-0.96206427694842,0.336017317189796,0.716742820840419
"ENSG00000065989",257.881256706759,-0.0550671354866844,0.262237737749923,-0.209989362931425,0.833675975103613,0.954254672856225
"ENSG00000105137",908.521662671255,0.116187307018445,0.136143383990551,0.85341867972452,0.393427166254415,0.756586413536255
"ENSG00000105135",406.247655760259,0.177339382312808,0.172792192876846,1.02631594263754,0.304742684916259,0.68436380574698
"ENSG00000186526",4.05578339211875,-0.258862689459218,0.706508513806596,-0.366397126716128,0.714068763450643,0.899525828565202
"ENSG00000198551",147.820422819455,-0.0455784780030689,0.219098741561654,-0.208027109960571,0.835207799683091,0.954254672856225
"ENSG00000105141",3.855116104927,0.577883804909389,0.782359950630009,0.738641854614411,0.460124501844708,0.794523374500556
"ENSG00000064490",193.229697638698,-0.370391756868773,0.188830321483278,-1.96150572619543,0.0498200576820024,0.295104375058456
"ENSG00000268087",9.29545301695086,0.400968286240826,0.4835343481457,0.829244680917694,0.406965966578707,0.765196502591815
"ENSG00000105393",167.929439755921,-0.0937838116116278,0.166714344890054,-0.562541943667038,0.573746834662198,0.848376799716919
"ENSG00000105705",320.442843461033,-0.103622783873282,0.12594457111583,-0.822764990624181,0.410641649014296,0.766198673648846
